0.000115740741,0.0386228577,0.0570552303,0.386228577,0.570552303
0.000347222222,0.03832411,0.0566139082,1.15271078,1.70283047
0.000810185185,0.0377128549,0.0557109377,2.66122497,3.93126798
0.00173611111,0.036644865,0.0541332603,5.59281417,8.2619288
0.00358796296,0.0351910927,0.0519856898,11.223389,16.5796392
0.00729166667,0.0337333084,0.0498321925,22.0180477,32.5259408
0.0146990741,0.0327003722,0.0483062979,42.9462859,63.4419714
0.0295138889,0.0322132038,0.0475866332,84.1791868,124.352862
0.0591435185,0.032056697,0.0473554351,166.244331,245.582776
0.118402778,0.0319932697,0.0472617377,330.049872,487.562873
0.236921296,0.0319440707,0.0471890589,657.157156,970.778836
0.473958333,0.0319055072,0.0471320914,1310.58194,1936.04407
0.948032407,0.0318845327,0.0471011071,2616.5724,3865.30541
1.89618056,0.0319262366,0.0471627137,5231.9697,7728.87492
2.89618056,0.0321346139,0.047470537,8008.40034,11830.3293
3.89618056,0.0323482072,0.0477860655,10803.2854,15959.0454
4.89618056,0.0325380023,0.0480664385,13614.5688,20111.9857
5.89618056,0.0326881296,0.0482882126,16438.8232,24284.0872
6.89618056,0.0327919537,0.0484415856,19272.048,28469.4402
7.89618056,0.032849683,0.0485268657,22110.2606,32662.1614
8.89618056,0.0328650549,0.0485495738,24949.8014,36856.8446
9.89618056,0.0328431888,0.0485172722,27787.4529,41048.7369
10.8961806,0.0327894638,0.0484379075,30620.4626,45233.7721
11.8961806,0.0327089928,0.0483190325,33446.5195,49408.5365
12.8961806,0.0326064121,0.0481674962,36263.7136,53570.2082
13.8961806,0.0324858258,0.0479893613,39070.4889,57716.489
14.8961806,0.0323508212,0.047789927,41865.5999,61845.5387
15.8961806,0.0322045114,0.0475737925,44648.0696,65955.9144
16.8961806,0.0320495923,0.0473449397,47417.1544,70046.5172
17.8961806,0.0318883828,0.0471067945,50172.3107,74116.5442
18.8961806,0.0317228743,0.0468622988,52913.167,78165.4468
19.8961806,0.031554773,0.0466139728,55639.4994,82192.8941
20.0,0.0316343818,0.0467315741,55923.2598,82612.0763
